City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,huarmey,-10.0681,-78.1522,25.19,78,100,3.79,PE,1706917670
140,sunland park,31.7965,-106.58,12.49,52,40,10.29,US,1706917668
141,sikasso,10.9167,-7.0,25.82,18,75,3.05,ML,1706917670
142,klyuchi,52.2667,79.1667,-10.44,89,100,5.04,RU,1706917671
143,patterson,37.4716,-121.1297,14.88,72,54,4.18,US,1706917671
144,teluk nibung,3.001,99.8164,24.4,93,100,2.45,ID,1706917671
145,port moresby,-9.4431,147.1797,28.79,68,99,3.48,PG,1706917671
146,dunedin,-45.8742,170.5036,12.11,72,94,4.02,NZ,1706917435
147,utrik,11.2278,169.8474,26.31,86,96,9.71,MH,1706917672
148,dulovo,43.8167,27.15,1.42,88,96,3.39,BG,1706917672
149,la ronge,55.1001,-105.2842,6.12,70,0,2.57,CA,1706917673
150,susuman,62.7833,148.1667,-33.34,100,94,1.34,RU,1706917673
151,sur,22.5667,59.5289,22.75,78,5,3.16,OM,1706917673
152,hami,42.8,93.45,-3.24,57,100,3.5,CN,1706917588
153,ibiruba,-28.6275,-53.0897,22.5,79,0,2.82,BR,1706917674
154,kodinsk,58.6881,99.1844,-26.42,100,80,0.58,RU,1706917674
155,chonchi,-42.6128,-73.8092,17.56,86,93,1.76,CL,1706917601
156,northam,51.0333,-4.2167,11.33,99,100,7.34,GB,1706917603
157,iskateley,67.6803,53.1512,-9.43,90,100,6.71,RU,1706917674
158,sabha,27.0377,14.4283,9.85,37,0,2.72,LY,1706917675
159,minot air force base,48.4209,-101.3391,4.1,88,100,7.72,US,1706917675
160,praia da vitoria,38.7333,-27.0667,17.14,88,75,5.63,PT,1706917675
161,portland,45.5234,-122.6762,13.94,59,75,6.17,US,1706917446
162,mbanza kongo,-6.267,14.2401,21.28,95,87,0.58,AO,1706917636
163,gornyy,55.1153,83.9059,-13.52,92,76,5.03,RU,1706917676
164,severo-yeniseyskiy,60.3725,93.0408,-25.79,100,79,1.34,RU,1706917676
165,opuwo,-18.0607,13.84,21.6,74,98,1.59,NA,1706917676
166,mount gambier,-37.8333,140.7667,23.38,32,0,2.28,AU,1706917602
167,khetri,27.9833,75.8,9.92,41,81,1.59,IN,1706917677
168,alofi,-19.0595,-169.9187,28.94,84,100,3.6,NU,1706917677
169,colares,38.7992,-9.4469,15.18,77,38,3.13,PT,1706917678
170,katav-ivanovsk,54.7531,58.1956,-8.35,96,100,1.54,RU,1706917678
171,anderson,34.5334,-82.6499,19.49,55,0,2.57,US,1706917678
172,fonte boa,-2.4959,-66.2662,25.04,95,98,1.33,BR,1706917678
173,san jose del guaviare,2.5729,-72.6459,25.03,91,95,1.13,CO,1706917679
174,almeirim,-1.5233,-52.5817,23.63,95,100,1.48,BR,1706917679
175,nizhnevartovsk,60.9344,76.5531,-14.99,92,100,4.02,RU,1706917679
176,fort bragg,35.139,-79.006,15.75,60,63,1.34,US,1706917680
177,ghat,24.9647,10.1728,10.05,27,30,0.65,LY,1706917680
178,greater sudbury,46.49,-80.99,-3.46,94,21,1.39,CA,1706917680
179,udachny,66.4167,112.4,-31.58,77,55,1.27,RU,1706917680
180,afaahiti,-17.75,-149.2833,28.93,72,100,3.46,PF,1706917680
181,atafu village,-8.5421,-172.5159,28.85,74,99,5.32,TK,1706917596
182,dolores,-36.3132,-57.6792,23.96,60,18,7.12,AR,1706917681
183,fuqing,25.725,119.3794,10.87,88,77,2.43,CN,1706917681
184,nizhniy kuranakh,58.8353,125.4869,-27.97,100,100,1.53,RU,1706917681
185,byalynichy,53.9983,29.7126,-2.5,94,95,4.44,BY,1706917682
